,OBJECTID,YEAR_,AGENCY,CAUSE,C_METHOD,OBJECTIVE,GIS_ACRES,DECADES,Shape__Area,Shape__Length
6055,14.132668568593408,2.586808605980471,3.0,14.0,1.0,1.0,1.0000671075937724,1.2681107593694065,1.0064544691461956,1.0000156960899402
6056,14.132757133853737,2.586808605980471,3.0,1.0,2.0,1.0442737824274138,1.0000675476113146,1.2681107593694065,1.00646994126837,1.0000159657486076
6057,14.132845697449072,2.586808605980471,3.0,1.0,2.0,1.0442737824274138,1.0000746421430415,1.2681107593694065,1.0066968146179796,1.0000163800383028
6058,14.132934259379484,2.586808605980471,3.0,1.0,2.0,1.0442737824274138,1.0000709740579103,1.2681107593694065,1.0065786045657723,1.0000164528461006
6059,14.13302281964505,2.586808605980471,3.0,1.0,2.0,1.0442737824274138,1.000073177833887,1.2681107593694065,1.006648038211837,1.0000159696892705
6060,14.133111378245836,2.586808605980471,3.0,1.0,2.0,1.0442737824274138,1.000106260096771,1.2681107593694065,1.0077184434513229,1.000018184551449
6061,14.133199935181919,2.586808605980471,3.0,1.0,2.0,1.0442737824274138,1.0000941193708146,1.2681107593694065,1.0073276773451827,1.000017792509091
6062,14.133288490453372,2.5866472984221645,3.0,1.0,1.0,1.0442737824274138,1.0000501871694858,1.2681107593694065,1.0059101613006975,1.0000148932126722
6063,14.13337704406027,2.5866472984221645,3.0,1.0,7.0,1.0442737824274138,1.0001300653006613,1.2681107593694065,1.0084822988978541,1.0000201909261568
6064,14.133554146280684,2.5845438654213364,3.0,1.0,8.0,1.0442737824274138,1.000063216255787,1.2679121356068983,1.0063141040925814,1.000015204638491
6065,14.134793675450407,2.5864859204172803,3.0,1.0,7.0,1.0442737824274138,1.000053235600776,1.2681107593694065,1.0059965193849445,1.0000147544582372
6066,14.134882200770997,2.5864859204172803,3.0,1.0,7.0,1.0442737824274138,1.000124405330435,1.2681107593694065,1.0082872069701516,1.0000196998923714
6067,14.134970724428346,2.5864859204172803,3.0,1.0,1.0,1.0442737824274138,1.0000857349565255,1.2681107593694065,1.0070385425487463,1.0000169393410887
6068,14.137714133234795,2.586969843158066,3.0,1.0,8.0,1.0,1.0000807875070936,1.2681107593694065,1.0068468624982148,1.0000167757205234
6069,14.137802603706811,2.586969843158066,3.0,1.0,8.0,1.0,1.000117405514862,1.2681107593694065,1.0080272767953562,1.000019127825314
6070,14.137891072517986,2.586969843158066,3.0,1.0,8.0,1.0,1.0001000547752465,1.2681107593694065,1.0074692257052364,1.0000174921921992
6071,14.1411632516252,2.5858397026113704,3.0,1.0,8.0,1.0442737824274138,1.0000969346097772,1.2679121356068983,1.007401676968081,1.0000177526164238
6072,14.141251657378305,2.5858397026113704,3.0,18.0,8.0,1.0,1.0000850786005202,1.2679121356068983,1.0070159256898916,1.0000176001476226
